country,actual,continent,year,type,value,rank,direction,sex
Mongolia,Asia,Asia,2013,both_suicide,21,4,highest,All
Sri Lanka,Asia,Asia,2013,both_suicide,15.2,5,highest,All
India,Asia,Asia,2013,both_suicide,13.7,6,highest,All
Kyrgyzstan,Asia,Asia,2013,both_suicide,10.5,7,highest,All
Singapore,Asia,Asia,2013,both_suicide,10.3,8,highest,All
Democratic People's Republic of Korea,Asia,Asia,2013,both_suicide,9.9,9,highest,All
Georgia,Asia,Asia,2013,both_suicide,9.8,10,highest,All
Jordan,Asia,Asia,2013,both_suicide,1.5,1,lowest,All
Brunei Darussalam,Asia,Asia,2013,both_suicide,1.8,2,lowest,All
Syria,Asia,Asia,2013,both_suicide,1.8,3,lowest,All
Turkey,Asia,Asia,2013,both_suicide,2.3,4,lowest,All
Kuwait,Asia,Asia,2013,both_suicide,2.4,5,lowest,All
Philippines,Asia,Asia,2013,both_suicide,2.4,6,lowest,All
Indonesia,Asia,Asia,2013,both_suicide,2.5,7,lowest,All
Maldives,Asia,Asia,2013,both_suicide,2.6,8,lowest,All
Lebanon,Asia,Asia,2013,both_suicide,3,9,lowest,All
Myanmar,Asia,Asia,2013,both_suicide,3.3,10,lowest,All
Kazakhstan,Asia,Asia,2013,male_suicide,44.6,1,highest,Male
Republic of Korea,Asia,Asia,2013,male_suicide,42.5,2,highest,Male
Mongolia,Asia,Asia,2013,male_suicide,35.2,3,highest,Male
Japan,Asia,Asia,2013,male_suicide,30.2,4,highest,Male
Sri Lanka,Asia,Asia,2013,male_suicide,24.4,5,highest,Male
Kyrgyzstan,Asia,Asia,2013,male_suicide,17.1,6,highest,Male
Georgia,Asia,Asia,2013,male_suicide,17,7,highest,Male
India,Asia,Asia,2013,male_suicide,15.5,8,highest,Male
Nepal,Asia,Asia,2013,male_suicide,15.4,9,highest,Male
Singapore,Asia,Asia,2013,male_suicide,14.1,10,highest,Male
Jordan,Asia,Asia,2013,male_suicide,2.2,1,lowest,Male
Brunei Darussalam,Asia,Asia,2013,male_suicide,2.4,2,lowest,Male
Syria,Asia,Asia,2013,male_suicide,2.8,3,lowest,Male
Turkey,Asia,Asia,2013,male_suicide,3.3,4,lowest,Male
Philippines,Asia,Asia,2013,male_suicide,3.5,5,lowest,Male
Kuwait,Asia,Asia,2013,male_suicide,3.6,6,lowest,Male
Indonesia,Asia,Asia,2013,male_suicide,3.7,7,lowest,Male
Maldives,Asia,Asia,2013,male_suicide,3.9,8,lowest,Male
Lebanon,Asia,Asia,2013,male_suicide,4.1,9,lowest,Male
Afghanistan,Asia,Asia,2013,male_suicide,4.3,10,lowest,Male
Republic of Korea,Asia,Asia,2013,female_suicide,18.6,1,highest,Female
Japan,Asia,Asia,2013,female_suicide,12.9,2,highest,Female
India,Asia,Asia,2013,female_suicide,11.8,3,highest,Female
Kazakhstan,Asia,Asia,2013,female_suicide,9.2,4,highest,Female
Democratic People's Republic of Korea,Asia,Asia,2013,female_suicide,8.4,5,highest,Female
Mongolia,Asia,Asia,2013,female_suicide,7.1,6,highest,Female
China,Asia,Asia,2013,female_suicide,7,7,highest,Female
Sri Lanka,Asia,Asia,2013,female_suicide,6.7,8,highest,Female
Singapore,Asia,Asia,2013,female_suicide,6.1,9,highest,Female
Uzbekistan,Asia,Asia,2013,female_suicide,5.4,10,highest,Female
Jordan,Asia,Asia,2013,female_suicide,0.7,1,lowest,Female
Syria,Asia,Asia,2013,female_suicide,0.7,2,lowest,Female
Kuwait,Asia,Asia,2013,female_suicide,0.8,3,lowest,Female
Maldives,Asia,Asia,2013,female_suicide,0.8,4,lowest,Female
Brunei Darussalam,Asia,Asia,2013,female_suicide,1.1,5,lowest,Female
Indonesia,Asia,Asia,2013,female_suicide,1.2,6,lowest,Female
Philippines,Asia,Asia,2013,female_suicide,1.2,7,lowest,Female
Turkey,Asia,Asia,2013,female_suicide,1.2,8,lowest,Female
Myanmar,Asia,Asia,2013,female_suicide,1.3,9,lowest,Female
Oman,Asia,Asia,2013,female_suicide,1.3,10,lowest,Female
Republic of Korea,Asia,Asia,2012,both_suicide,30.2,1,highest,All
Kazakhstan,Asia,Asia,2012,both_suicide,27.6,2,highest,All
Mongolia,Asia,Asia,2012,both_suicide,21.7,3,highest,All
Japan,Asia,Asia,2012,both_suicide,21.6,4,highest,All
Sri Lanka,Asia,Asia,2012,both_suicide,16.6,5,highest,All
India,Asia,Asia,2012,both_suicide,14.3,6,highest,All
Singapore,Asia,Asia,2012,both_suicide,11.3,7,highest,All
Kyrgyzstan,Asia,Asia,2012,both_suicide,10.9,8,highest,All
Democratic People's Republic of Korea,Asia,Asia,2012,both_suicide,9.7,9,highest,All
Georgia,Asia,Asia,2012,both_suicide,9.2,10,highest,All
Jordan,Asia,Asia,2012,both_suicide,1.5,1,lowest,All
Syria,Asia,Asia,2012,both_suicide,1.6,2,lowest,All
Brunei Darussalam,Asia,Asia,2012,both_suicide,2.1,3,lowest,All
Turkey,Asia,Asia,2012,both_suicide,2.2,4,lowest,All
Kuwait,Asia,Asia,2012,both_suicide,2.4,5,lowest,All
Philippines,Asia,Asia,2012,both_suicide,2.4,6,lowest,All
Indonesia,Asia,Asia,2012,both_suicide,2.5,7,lowest,All
Maldives,Asia,Asia,2012,both_suicide,2.6,8,lowest,All
Lebanon,Asia,Asia,2012,both_suicide,3,9,lowest,All
Myanmar,Asia,Asia,2012,both_suicide,3.3,10,lowest,All
Kazakhstan,Asia,Asia,2012,male_suicide,46.8,1,highest,Male
Republic of Korea,Asia,Asia,2012,male_suicide,40.9,2,highest,Male
Mongolia,Asia,Asia,2012,male_suicide,36.2,3,highest,Male
Japan,Asia,Asia,2012,male_suicide,30.7,4,highest,Male
Sri Lanka,Asia,Asia,2012,male_suicide,26.7,5,highest,Male
Kyrgyzstan,Asia,Asia,2012,male_suicide,17.6,6,highest,Male
India,Asia,Asia,2012,male_suicide,16.2,7,highest,Male
Georgia,Asia,Asia,2012,male_suicide,16,8,highest,Male
Nepal,Asia,Asia,2012,male_suicide,15.6,9,highest,Male
Singapore,Asia,Asia,2012,male_suicide,14,10,highest,Male
Jordan,Asia,Asia,2012,male_suicide,2.3,1,lowest,Male
Syria,Asia,Asia,2012,male_suicide,2.5,2,lowest,Male
Turkey,Asia,Asia,2012,male_suicide,3.3,3,lowest,Male
Brunei Darussalam,Asia,Asia,2012,male_suicide,3.5,4,lowest,Male
Kuwait,Asia,Asia,2012,male_suicide,3.5,5,lowest,Male
Philippines,Asia,Asia,2012,male_suicide,3.5,6,lowest,Male
Indonesia,Asia,Asia,2012,male_suicide,3.8,7,lowest,Male
Lebanon,Asia,Asia,2012,male_suicide,4,8,lowest,Male
Maldives,Asia,Asia,2012,male_suicide,4,9,lowest,Male
Afghanistan,Asia,Asia,2012,male_suicide,4.3,10,lowest,Male
Republic of Korea,Asia,Asia,2012,female_suicide,19.5,1,highest,Female
Japan,Asia,Asia,2012,female_suicide,12.9,2,highest,Female
India,Asia,Asia,2012,female_suicide,12.2,3,highest,Female
Kazakhstan,Asia,Asia,2012,female_suicide,9.6,4,highest,Female
Democratic People's Republic of Korea,Asia,Asia,2012,female_suicide,8.3,5,highest,Female
Singapore,Asia,Asia,2012,female_suicide,8.3,6,highest,Female
Mongolia,Asia,Asia,2012,female_suicide,7.5,7,highest,Female
China,Asia,Asia,2012,female_suicide,7.4,8,highest,Female
Sri Lanka,Asia,Asia,2012,female_suicide,7.1,9,highest,Female
Uzbekistan,Asia,Asia,2012,female_suicide,5.4,10,highest,Female
Brunei Darussalam,Asia,Asia,2012,female_suicide,0.6,1,lowest,Female
Syria,Asia,Asia,2012,female_suicide,0.6,2,lowest,Female
Jordan,Asia,Asia,2012,female_suicide,0.7,3,lowest,Female
Maldives,Asia,Asia,2012,female_suicide,0.8,4,lowest,Female
Kuwait,Asia,Asia,2012,female_suicide,0.9,5,lowest,Female
Indonesia,Asia,Asia,2012,female_suicide,1.2,6,lowest,Female
Turkey,Asia,Asia,2012,female_suicide,1.2,7,lowest,Female
Myanmar,Asia,Asia,2012,female_suicide,1.3,8,lowest,Female
Oman,Asia,Asia,2012,female_suicide,1.3,9,lowest,Female
Philippines,Asia,Asia,2012,female_suicide,1.3,10,lowest,Female
Republic of Korea,Asia,Asia,2011,both_suicide,34.5,1,highest,All
Kazakhstan,Asia,Asia,2011,both_suicide,28.7,2,highest,All
Japan,Asia,Asia,2011,both_suicide,23.4,3,highest,All
Mongolia,Asia,Asia,2011,both_suicide,22.7,4,highest,All
Sri Lanka,Asia,Asia,2011,both_suicide,17.9,5,highest,All
India,Asia,Asia,2011,both_suicide,14.7,6,highest,All
Kyrgyzstan,Asia,Asia,2011,both_suicide,11.3,7,highest,All
Democratic People's Republic of Korea,Asia,Asia,2011,both_suicide,9.7,8,highest,All
China,Asia,Asia,2011,both_suicide,9.6,9,highest,All
Singapore,Asia,Asia,2011,both_suicide,9.6,10,highest,All
Jordan,Asia,Asia,2011,both_suicide,1.5,1,lowest,All
Syria,Asia,Asia,2011,both_suicide,1.5,2,lowest,All
Brunei Darussalam,Asia,Asia,2011,both_suicide,1.9,3,lowest,All
Turkey,Asia,Asia,2011,both_suicide,2.2,4,lowest,All
Kuwait,Asia,Asia,2011,both_suicide,2.3,5,lowest,All
Indonesia,Asia,Asia,2011,both_suicide,2.6,6,lowest,All
Maldives,Asia,Asia,2011,both_suicide,2.6,7,lowest,All
Philippines,Asia,Asia,2011,both_suicide,2.7,8,lowest,All
Lebanon,Asia,Asia,2011,both_suicide,3,9,lowest,All
Timor-Leste,Asia,Asia,2011,both_suicide,3.2,10,lowest,All
Kazakhstan,Asia,Asia,2011,male_suicide,48.7,1,highest,Male
Republic of Korea,Asia,Asia,2011,male_suicide,47,2,highest,Male
Mongolia,Asia,Asia,2011,male_suicide,37.9,3,highest,Male
Japan,Asia,Asia,2011,male_suicide,32.8,4,highest,Male
Sri Lanka,Asia,Asia,2011,male_suicide,29.1,5,highest,Male
Kyrgyzstan,Asia,Asia,2011,male_suicide,17.9,6,highest,Male
India,Asia,Asia,2011,male_suicide,16.3,7,highest,Male
Nepal,Asia,Asia,2011,male_suicide,15.6,8,highest,Male
Georgia,Asia,Asia,2011,male_suicide,14.8,9,highest,Male
Pakistan,Asia,Asia,2011,male_suicide,12.7,10,highest,Male
Jordan,Asia,Asia,2011,male_suicide,2.3,1,lowest,Male
Syria,Asia,Asia,2011,male_suicide,2.4,2,lowest,Male
Kuwait,Asia,Asia,2011,male_suicide,3.3,3,lowest,Male
Turkey,Asia,Asia,2011,male_suicide,3.3,4,lowest,Male
Brunei Darussalam,Asia,Asia,2011,male_suicide,3.7,5,lowest,Male
Indonesia,Asia,Asia,2011,male_suicide,3.9,6,lowest,Male
Maldives,Asia,Asia,2011,male_suicide,4,7,lowest,Male
Philippines,Asia,Asia,2011,male_suicide,4,8,lowest,Male
Lebanon,Asia,Asia,2011,male_suicide,4.1,9,lowest,Male
Timor-Leste,Asia,Asia,2011,male_suicide,4.4,10,lowest,Male
Republic of Korea,Asia,Asia,2011,female_suicide,21.9,1,highest,Female
Japan,Asia,Asia,2011,female_suicide,14.3,2,highest,Female
India,Asia,Asia,2011,female_suicide,12.8,3,highest,Female
Kazakhstan,Asia,Asia,2011,female_suicide,10,4,highest,Female
Democratic People's Republic of Korea,Asia,Asia,2011,female_suicide,8.4,5,highest,Female
China,Asia,Asia,2011,female_suicide,8.1,6,highest,Female
Mongolia,Asia,Asia,2011,female_suicide,7.8,7,highest,Female
Sri Lanka,Asia,Asia,2011,female_suicide,7.4,8,highest,Female
Singapore,Asia,Asia,2011,female_suicide,6.7,9,highest,Female
Uzbekistan,Asia,Asia,2011,female_suicide,5,10,highest,Female
Brunei Darussalam,Asia,Asia,2011,female_suicide,0,1,lowest,Female
Syria,Asia,Asia,2011,female_suicide,0.6,2,lowest,Female
Jordan,Asia,Asia,2011,female_suicide,0.7,3,lowest,Female
Kuwait,Asia,Asia,2011,female_suicide,0.9,4,lowest,Female
Maldives,Asia,Asia,2011,female_suicide,0.9,5,lowest,Female
Turkey,Asia,Asia,2011,female_suicide,1.2,6,lowest,Female
Indonesia,Asia,Asia,2011,female_suicide,1.3,7,lowest,Female
Oman,Asia,Asia,2011,female_suicide,1.4,8,lowest,Female
Myanmar,Asia,Asia,2011,female_suicide,1.5,9,lowest,Female
Philippines,Asia,Asia,2011,female_suicide,1.5,10,lowest,Female
Republic of Korea,Asia,Asia,2010,both_suicide,34,1,highest,All
Kazakhstan,Asia,Asia,2010,both_suicide,29.9,2,highest,All
Japan,Asia,Asia,2010,both_suicide,24.1,3,highest,All
Mongolia,Asia,Asia,2010,both_suicide,23.4,4,highest,All
Sri Lanka,Asia,Asia,2010,both_suicide,21.9,5,highest,All
India,Asia,Asia,2010,both_suicide,14.6,6,highest,All
Kyrgyzstan,Asia,Asia,2010,both_suicide,11.4,7,highest,All
China,Asia,Asia,2010,both_suicide,10.2,8,highest,All
Singapore,Asia,Asia,2010,both_suicide,9.9,9,highest,All
Democratic People's Republic of Korea,Asia,Asia,2010,both_suicide,9.5,10,highest,All
Brunei Darussalam,Asia,Asia,2010,both_suicide,1.3,1,lowest,All
Jordan,Asia,Asia,2010,both_suicide,1.5,2,lowest,All
Syria,Asia,Asia,2010,both_suicide,1.5,3,lowest,All
Philippines,Asia,Asia,2010,both_suicide,2.4,4,lowest,All
Turkey,Asia,Asia,2010,both_suicide,2.4,5,lowest,All
Kuwait,Asia,Asia,2010,both_suicide,2.5,6,lowest,All
Indonesia,Asia,Asia,2010,both_suicide,2.6,7,lowest,All
Maldives,Asia,Asia,2010,both_suicide,2.7,8,lowest,All
Lebanon,Asia,Asia,2010,both_suicide,3,9,lowest,All
Timor-Leste,Asia,Asia,2010,both_suicide,3,10,lowest,All
Kazakhstan,Asia,Asia,2010,male_suicide,50.7,1,highest,Male
Republic of Korea,Asia,Asia,2010,male_suicide,44.9,2,highest,Male
Mongolia,Asia,Asia,2010,male_suicide,38.7,3,highest,Male
Japan,Asia,Asia,2010,male_suicide,34.9,4,highest,Male
Sri Lanka,Asia,Asia,2010,male_suicide,33,5,highest,Male
Kyrgyzstan,Asia,Asia,2010,male_suicide,18.3,6,highest,Male
India,Asia,Asia,2010,male_suicide,16.3,7,highest,Male
Nepal,Asia,Asia,2010,male_suicide,15,8,highest,Male
Georgia,Asia,Asia,2010,male_suicide,14.2,9,highest,Male
Turkmenistan,Asia,Asia,2010,male_suicide,13.2,10,highest,Male
Brunei Darussalam,Asia,Asia,2010,male_suicide,1.8,1,lowest,Male
Jordan,Asia,Asia,2010,male_suicide,2.3,2,lowest,Male
Syria,Asia,Asia,2010,male_suicide,2.4,3,lowest,Male
Philippines,Asia,Asia,2010,male_suicide,3.4,4,lowest,Male
Kuwait,Asia,Asia,2010,male_suicide,3.5,5,lowest,Male
Turkey,Asia,Asia,2010,male_suicide,3.6,6,lowest,Male
Indonesia,Asia,Asia,2010,male_suicide,3.9,7,lowest,Male
Timor-Leste,Asia,Asia,2010,male_suicide,4,8,lowest,Male
Egypt,Asia,Asia,2010,male_suicide,4.1,9,lowest,Male
Lebanon,Asia,Asia,2010,male_suicide,4.1,10,lowest,Male
Republic of Korea,Asia,Asia,2010,female_suicide,23,1,highest,Female
Japan,Asia,Asia,2010,female_suicide,13.8,2,highest,Female
India,Asia,Asia,2010,female_suicide,12.9,3,highest,Female
Sri Lanka,Asia,Asia,2010,female_suicide,11.4,4,highest,Female
Kazakhstan,Asia,Asia,2010,female_suicide,10.5,5,highest,Female
China,Asia,Asia,2010,female_suicide,8.7,6,highest,Female
Democratic People's Republic of Korea,Asia,Asia,2010,female_suicide,8.3,7,highest,Female
Mongolia,Asia,Asia,2010,female_suicide,8.2,8,highest,Female
Singapore,Asia,Asia,2010,female_suicide,6.7,9,highest,Female
Kyrgyzstan,Asia,Asia,2010,female_suicide,4.6,10,highest,Female
Syria,Asia,Asia,2010,female_suicide,0.6,1,lowest,Female
Brunei Darussalam,Asia,Asia,2010,female_suicide,0.7,2,lowest,Female
Jordan,Asia,Asia,2010,female_suicide,0.8,3,lowest,Female
Maldives,Asia,Asia,2010,female_suicide,0.9,4,lowest,Female
Kuwait,Asia,Asia,2010,female_suicide,1,5,lowest,Female
Indonesia,Asia,Asia,2010,female_suicide,1.3,6,lowest,Female
Philippines,Asia,Asia,2010,female_suicide,1.3,7,lowest,Female
Turkey,Asia,Asia,2010,female_suicide,1.3,8,lowest,Female
Myanmar,Asia,Asia,2010,female_suicide,1.5,9,lowest,Female
Oman,Asia,Asia,2010,female_suicide,1.5,10,lowest,Female
Republic of Korea,Asia,Asia,2009,both_suicide,34.2,1,highest,All
Kazakhstan,Asia,Asia,2009,both_suicide,30.3,2,highest,All
Japan,Asia,Asia,2009,both_suicide,24.9,3,highest,All
Mongolia,Asia,Asia,2009,both_suicide,23.6,4,highest,All
Sri Lanka,Asia,Asia,2009,both_suicide,22.7,5,highest,All
India,Asia,Asia,2009,both_suicide,14.5,6,highest,All
Kyrgyzstan,Asia,Asia,2009,both_suicide,11.9,7,highest,All
China,Asia,Asia,2009,both_suicide,10.7,8,highest,All
Singapore,Asia,Asia,2009,both_suicide,10.5,9,highest,All
Democratic People's Republic of Korea,Asia,Asia,2009,both_suicide,9.4,10,highest,All
Syria,Asia,Asia,2009,both_suicide,1.4,1,lowest,All
Jordan,Asia,Asia,2009,both_suicide,1.6,2,lowest,All
Brunei Darussalam,Asia,Asia,2009,both_suicide,1.8,3,lowest,All
Philippines,Asia,Asia,2009,both_suicide,2.3,4,lowest,All
Turkey,Asia,Asia,2009,both_suicide,2.4,5,lowest,All
Indonesia,Asia,Asia,2009,both_suicide,2.7,6,lowest,All
Kuwait,Asia,Asia,2009,both_suicide,2.7,7,lowest,All
Maldives,Asia,Asia,2009,both_suicide,2.9,8,lowest,All
Lebanon,Asia,Asia,2009,both_suicide,3,9,lowest,All
Egypt,Asia,Asia,2009,both_suicide,3.1,10,lowest,All
Kazakhstan,Asia,Asia,2009,male_suicide,51,1,highest,Male
Republic of Korea,Asia,Asia,2009,male_suicide,44,2,highest,Male
Mongolia,Asia,Asia,2009,male_suicide,39.2,3,highest,Male
Sri Lanka,Asia,Asia,2009,male_suicide,37.5,4,highest,Male
Japan,Asia,Asia,2009,male_suicide,36.6,5,highest,Male
Kyrgyzstan,Asia,Asia,2009,male_suicide,19.2,6,highest,Male
India,Asia,Asia,2009,male_suicide,16.5,7,highest,Male
Nepal,Asia,Asia,2009,male_suicide,14.7,8,highest,Male
Turkmenistan,Asia,Asia,2009,male_suicide,14.6,9,highest,Male
Singapore,Asia,Asia,2009,male_suicide,14.4,10,highest,Male
Brunei Darussalam,Asia,Asia,2009,male_suicide,2.2,1,lowest,Male
Jordan,Asia,Asia,2009,male_suicide,2.3,2,lowest,Male
Syria,Asia,Asia,2009,male_suicide,2.3,3,lowest,Male
Philippines,Asia,Asia,2009,male_suicide,3.3,4,lowest,Male
Turkey,Asia,Asia,2009,male_suicide,3.5,5,lowest,Male
Kuwait,Asia,Asia,2009,male_suicide,3.8,6,lowest,Male
Indonesia,Asia,Asia,2009,male_suicide,4,7,lowest,Male
Lebanon,Asia,Asia,2009,male_suicide,4,8,lowest,Male
Egypt,Asia,Asia,2009,male_suicide,4.1,9,lowest,Male
Timor-Leste,Asia,Asia,2009,male_suicide,4.2,10,lowest,Male
Republic of Korea,Asia,Asia,2009,female_suicide,24.4,1,highest,Female
Japan,Asia,Asia,2009,female_suicide,13.8,2,highest,Female
India,Asia,Asia,2009,female_suicide,12.4,3,highest,Female
Kazakhstan,Asia,Asia,2009,female_suicide,10.9,4,highest,Female
China,Asia,Asia,2009,female_suicide,9.3,5,highest,Female
Sri Lanka,Asia,Asia,2009,female_suicide,8.7,6,highest,Female
Mongolia,Asia,Asia,2009,female_suicide,8.3,7,highest,Female
Democratic People's Republic of Korea,Asia,Asia,2009,female_suicide,8.2,8,highest,Female
Singapore,Asia,Asia,2009,female_suicide,6.4,9,highest,Female
Kyrgyzstan,Asia,Asia,2009,female_suicide,4.8,10,highest,Female
Syria,Asia,Asia,2009,female_suicide,0.5,1,lowest,Female
Jordan,Asia,Asia,2009,female_suicide,0.8,2,lowest,Female
Maldives,Asia,Asia,2009,female_suicide,0.9,3,lowest,Female
Kuwait,Asia,Asia,2009,female_suicide,1.1,4,lowest,Female
Brunei Darussalam,Asia,Asia,2009,female_suicide,1.3,5,lowest,Female
Philippines,Asia,Asia,2009,female_suicide,1.3,6,lowest,Female
Turkey,Asia,Asia,2009,female_suicide,1.3,7,lowest,Female
Indonesia,Asia,Asia,2009,female_suicide,1.4,8,lowest,Female
Oman,Asia,Asia,2009,female_suicide,1.4,9,lowest,Female
Saudi Arabia,Asia,Asia,2009,female_suicide,1.6,10,lowest,Female
Kazakhstan,Asia,Asia,2008,both_suicide,34.6,1,highest,All
Republic of Korea,Asia,Asia,2008,both_suicide,28.6,2,highest,All
Japan,Asia,Asia,2008,both_suicide,24.4,3,highest,All
Mongolia,Asia,Asia,2008,both_suicide,23.8,4,highest,All
Sri Lanka,Asia,Asia,2008,both_suicide,17.5,5,highest,All
India,Asia,Asia,2008,both_suicide,15.1,6,highest,All
Kyrgyzstan,Asia,Asia,2008,both_suicide,12.3,7,highest,All
Turkmenistan,Asia,Asia,2008,both_suicide,11.4,8,highest,All
China,Asia,Asia,2008,both_suicide,11.1,9,highest,All
Singapore,Asia,Asia,2008,both_suicide,10.4,10,highest,All
Syria,Asia,Asia,2008,both_suicide,1.4,1,lowest,All
Jordan,Asia,Asia,2008,both_suicide,1.7,2,lowest,All
Philippines,Asia,Asia,2008,both_suicide,2,3,lowest,All
Brunei Darussalam,Asia,Asia,2008,both_suicide,2.1,4,lowest,All
Timor-Leste,Asia,Asia,2008,both_suicide,2.4,5,lowest,All
Turkey,Asia,Asia,2008,both_suicide,2.4,6,lowest,All
Indonesia,Asia,Asia,2008,both_suicide,2.8,7,lowest,All
Kuwait,Asia,Asia,2008,both_suicide,2.9,8,lowest,All
Lebanon,Asia,Asia,2008,both_suicide,2.9,9,lowest,All
Egypt,Asia,Asia,2008,both_suicide,3.1,10,lowest,All
Kazakhstan,Asia,Asia,2008,male_suicide,58.8,1,highest,Male
Mongolia,Asia,Asia,2008,male_suicide,39.8,2,highest,Male
Republic of Korea,Asia,Asia,2008,male_suicide,36.7,3,highest,Male
Japan,Asia,Asia,2008,male_suicide,35.4,4,highest,Male
Sri Lanka,Asia,Asia,2008,male_suicide,27.3,5,highest,Male
Kyrgyzstan,Asia,Asia,2008,male_suicide,20.1,6,highest,Male
Turkmenistan,Asia,Asia,2008,male_suicide,18.1,7,highest,Male
India,Asia,Asia,2008,male_suicide,17.3,8,highest,Male
Nepal,Asia,Asia,2008,male_suicide,14.1,9,highest,Male
Singapore,Asia,Asia,2008,male_suicide,13.7,10,highest,Male
Syria,Asia,Asia,2008,male_suicide,2.3,1,lowest,Male
Jordan,Asia,Asia,2008,male_suicide,2.4,2,lowest,Male
Brunei Darussalam,Asia,Asia,2008,male_suicide,2.9,3,lowest,Male
Philippines,Asia,Asia,2008,male_suicide,3,4,lowest,Male
Timor-Leste,Asia,Asia,2008,male_suicide,3.2,5,lowest,Male
Turkey,Asia,Asia,2008,male_suicide,3.5,6,lowest,Male
Lebanon,Asia,Asia,2008,male_suicide,3.9,7,lowest,Male
Egypt,Asia,Asia,2008,male_suicide,4,8,lowest,Male
Indonesia,Asia,Asia,2008,male_suicide,4.1,9,lowest,Male
Kuwait,Asia,Asia,2008,male_suicide,4.1,10,lowest,Male
Republic of Korea,Asia,Asia,2008,female_suicide,20.4,1,highest,Female
Japan,Asia,Asia,2008,female_suicide,13.9,2,highest,Female
India,Asia,Asia,2008,female_suicide,12.6,3,highest,Female
Kazakhstan,Asia,Asia,2008,female_suicide,12,4,highest,Female
China,Asia,Asia,2008,female_suicide,9.8,5,highest,Female
Democratic People's Republic of Korea,Asia,Asia,2008,female_suicide,8.3,6,highest,Female
Mongolia,Asia,Asia,2008,female_suicide,8,7,highest,Female
Sri Lanka,Asia,Asia,2008,female_suicide,8,8,highest,Female
Singapore,Asia,Asia,2008,female_suicide,6.8,9,highest,Female
Turkmenistan,Asia,Asia,2008,female_suicide,4.8,10,highest,Female
Syria,Asia,Asia,2008,female_suicide,0.5,1,lowest,Female
Jordan,Asia,Asia,2008,female_suicide,0.9,2,lowest,Female
Maldives,Asia,Asia,2008,female_suicide,0.9,3,lowest,Female
Philippines,Asia,Asia,2008,female_suicide,1,4,lowest,Female
Kuwait,Asia,Asia,2008,female_suicide,1.2,5,lowest,Female
Brunei Darussalam,Asia,Asia,2008,female_suicide,1.3,6,lowest,Female
Turkey,Asia,Asia,2008,female_suicide,1.3,7,lowest,Female
Indonesia,Asia,Asia,2008,female_suicide,1.4,8,lowest,Female
Oman,Asia,Asia,2008,female_suicide,1.4,9,lowest,Female
Saudi Arabia,Asia,Asia,2008,female_suicide,1.5,10,lowest,Female
Kazakhstan,Asia,Asia,2007,both_suicide,38,1,highest,All
Republic of Korea,Asia,Asia,2007,both_suicide,26.7,2,highest,All
Japan,Asia,Asia,2007,both_suicide,25,3,highest,All
Mongolia,Asia,Asia,2007,both_suicide,23.6,4,highest,All
Sri Lanka,Asia,Asia,2007,both_suicide,20,5,highest,All
India,Asia,Asia,2007,both_suicide,15.3,6,highest,All
Turkmenistan,Asia,Asia,2007,both_suicide,13.2,7,highest,All
Kyrgyzstan,Asia,Asia,2007,both_suicide,12.6,8,highest,All
China,Asia,Asia,2007,both_suicide,11.5,9,highest,All
Singapore,Asia,Asia,2007,both_suicide,10.7,10,highest,All
Syria,Asia,Asia,2007,both_suicide,1.4,1,lowest,All
Jordan,Asia,Asia,2007,both_suicide,1.7,2,lowest,All
Philippines,Asia,Asia,2007,both_suicide,1.9,3,lowest,All
Turkey,Asia,Asia,2007,both_suicide,2.5,4,lowest,All
Brunei Darussalam,Asia,Asia,2007,both_suicide,2.6,5,lowest,All
Kuwait,Asia,Asia,2007,both_suicide,2.6,6,lowest,All
Timor-Leste,Asia,Asia,2007,both_suicide,2.6,7,lowest,All
Indonesia,Asia,Asia,2007,both_suicide,2.9,8,lowest,All
Lebanon,Asia,Asia,2007,both_suicide,2.9,9,lowest,All
Maldives,Asia,Asia,2007,both_suicide,3,10,lowest,All
Kazakhstan,Asia,Asia,2007,male_suicide,65.7,1,highest,Male
Mongolia,Asia,Asia,2007,male_suicide,39.3,2,highest,Male
Japan,Asia,Asia,2007,male_suicide,36.2,3,highest,Male
Republic of Korea,Asia,Asia,2007,male_suicide,33.9,4,highest,Male
Sri Lanka,Asia,Asia,2007,male_suicide,31.7,5,highest,Male
Turkmenistan,Asia,Asia,2007,male_suicide,21.3,6,highest,Male
Kyrgyzstan,Asia,Asia,2007,male_suicide,20.7,7,highest,Male
India,Asia,Asia,2007,male_suicide,17.4,8,highest,Male
Nepal,Asia,Asia,2007,male_suicide,13.7,9,highest,Male
Bahrain,Asia,Asia,2007,male_suicide,13.3,10,highest,Male
Syria,Asia,Asia,2007,male_suicide,2.2,1,lowest,Male
Jordan,Asia,Asia,2007,male_suicide,2.4,2,lowest,Male
Philippines,Asia,Asia,2007,male_suicide,2.8,3,lowest,Male
Brunei Darussalam,Asia,Asia,2007,male_suicide,3.5,4,lowest,Male
Timor-Leste,Asia,Asia,2007,male_suicide,3.5,5,lowest,Male
Kuwait,Asia,Asia,2007,male_suicide,3.6,6,lowest,Male
Lebanon,Asia,Asia,2007,male_suicide,3.7,7,lowest,Male
Turkey,Asia,Asia,2007,male_suicide,3.7,8,lowest,Male
Egypt,Asia,Asia,2007,male_suicide,3.9,9,lowest,Male
Indonesia,Asia,Asia,2007,male_suicide,4.3,10,lowest,Male
